corruption,severity,f1_macro
gaussian_noise,1,0.8533931297038008
gaussian_noise,2,0.8043071827226141
gaussian_noise,3,0.7550757699533663
gaussian_noise,4,0.7309386328850492
gaussian_noise,5,0.6995146926550524
shot_noise,1,0.8764435504786358
shot_noise,2,0.8553073639195647
shot_noise,3,0.7878611155735221
shot_noise,4,0.7672198919988793
shot_noise,5,0.7242543658436735
impulse_noise,1,0.8678912523747483
impulse_noise,2,0.8215681090688609
impulse_noise,3,0.778286012503791
impulse_noise,4,0.70191521127812
impulse_noise,5,0.6354594378523386
defocus_blur,1,0.9118155586144514
defocus_blur,2,0.9102735599687245
defocus_blur,3,0.9046191709359647
defocus_blur,4,0.8849112990938517
defocus_blur,5,0.8412534436825186
glass_blur,1,0.7347675544633102
glass_blur,2,0.7301183182715519
glass_blur,3,0.7359232582490421
glass_blur,4,0.634918778739552
glass_blur,5,0.6353096525874038
motion_blur,1,0.89315187599253
motion_blur,2,0.8744437688687515
motion_blur,3,0.8468215882093031
motion_blur,4,0.8503598726060442
motion_blur,5,0.8159372237459366
zoom_blur,1,0.8939164929211506
zoom_blur,2,0.8914194478367425
zoom_blur,3,0.8827430652830399
zoom_blur,4,0.8682412260858186
zoom_blur,5,0.8448908496238628
snow,1,0.8725572008526589
snow,2,0.8140603728923015
snow,3,0.8099849448148848
snow,4,0.7913041831132662
snow,5,0.7841509513420787
frost,1,0.8868624655763517
frost,2,0.856866376989809
frost,3,0.8202576151721314
frost,4,0.8145619175864278
frost,5,0.7775038129190565
fog,1,0.9097998160695342
fog,2,0.9043154718121821
fog,3,0.8888333874299874
fog,4,0.8744892935207916
fog,5,0.7988763835717895
brightness,1,0.9119563464399288
brightness,2,0.9125159374564766
brightness,3,0.910400578161633
brightness,4,0.9065732999864535
brightness,5,0.8955440985843326
contrast,1,0.9049678763604959
contrast,2,0.889158857081138
contrast,3,0.8745548299256592
contrast,4,0.855521482457022
contrast,5,0.80485909568041
elastic_transform,1,0.8729964305192872
elastic_transform,2,0.8768991367924063
elastic_transform,3,0.868087971108111
elastic_transform,4,0.8163375301825304
elastic_transform,5,0.7465985431891539
pixelate,1,0.894830895636327
pixelate,2,0.8815534153338213
pixelate,3,0.8685377180234166
pixelate,4,0.8316569939506033
pixelate,5,0.7660406796340942
jpeg_compression,1,0.840002526323811
jpeg_compression,2,0.7984824747423019
jpeg_compression,3,0.7752451811943972
jpeg_compression,4,0.757624483608275
jpeg_compression,5,0.7230441301948295
