learning_rate;weight_decay;lr_decay;epoch_10;epoch_20;epoch_30;epoch_40;epoch_50;epoch_60;epoch_70;epoch_80;epoch_90;epoch_100;Test
0.05;0.0;0.0;0.7982387845;0.8333387957;0.8772169378;0.8831990177;0.8869689952;0.8933962795;0.9019226395;0.9043208857;0.9064807655;0.9050354664;0.8999546436
0.05;0.0;0.001;0.758646754;0.8075543195;0.8277379052;0.8392254281;0.8416968549;0.8435931043;0.8465142305;0.846009147;0.8492375593;0.8517015735;0.8394238131
0.05;0.001;0.0;0.6705357904;0.8203898466;0.8337813311;0.8686172019;0.8658382297;0.876804065;0.8640328363;0.8778300544;0.873665699;0.8794811865;0.8743618026
0.05;0.001;0.001;0.8121863246;0.8687765565;0.8818445738;0.8939169379;0.8937034624;0.8916779062;0.8943137034;0.8958106954;0.9002652636;0.8939984958;0.889223586
0.05;0.0001;0.0;0.788587046;0.8354454674;0.8665672296;0.8741506808;0.8777510742;0.8848963375;0.8951615878;0.8935949057;0.9024434232;0.9060227368;0.9036401881
0.05;0.0001;0.001;0.791722468;0.8430486516;0.8660070821;0.8701092262;0.8720861309;0.8752973386;0.8862052272;0.8799460715;0.8767919731;0.8795495643;0.8742535866
0.01;0.0;0.0;0.834868077;0.8527365889;0.8743284413;0.8822800155;0.8929228119;0.9012043545;0.9062936654;0.9045690073;0.9043882264;0.9004719035;0.898573775
0.01;0.0;0.001;0.7688158024;0.8143160036;0.8233436522;0.8347427312;0.8369259746;0.8385847602;0.8428696684;0.8448548878;0.8402945863;0.8367702906;0.8379601563
0.01;0.001;0.0;0.8138157043;0.7977108814;0.8802256106;0.8910094261;0.8771159726;0.9027082816;0.9043326938;0.9050172181;0.9074070984;0.9112470926;0.910335397
0.01;0.001;0.001;0.8302195763;0.8667072696;0.8764412308;0.8771158975;0.8839723586;0.8798539355;0.882226419;0.8829320486;0.8899769212;0.88577287;0.8799176038
0.01;0.0001;0.0;0.8367118267;0.8434072505;0.8829811424;0.8879688916;0.8971366891;0.9027193131;0.9049087912;0.9049150079;0.9079117806;0.909444312;0.9104417178
0.01;0.0001;0.001;0.7887424775;0.8354929701;0.8429454378;0.8495161694;0.8575291053;0.846624584;0.8505545762;0.8544158044;0.8490017151;0.8496487972;0.8530038765
0.005;0.0;0.0;0.8310300527;0.8563506197;0.8614251809;0.8870219096;0.8830658517;0.8908649155;0.8959484908;0.890967517;0.8943098447;0.8868009233;0.8845991236
0.005;0.0;0.001;0.8065122551;0.8295276939;0.8335318558;0.8386843013;0.8447099534;0.833310967;0.8397777342;0.8430835449;0.8399603368;0.8475784069;0.8364075468
0.005;0.001;0.0;0.8218051518;0.8471799;0.8641639455;0.8813373343;0.8865980663;0.8888423977;0.8864302914;0.9030317895;0.9019441225;0.9040890379;0.8976843699
0.005;0.001;0.001;0.8281688255;0.8452733719;0.8576001149;0.8616857302;0.8594985737;0.8660103972;0.8637128758;0.8627680018;0.8701069263;0.8638397844;0.8642691281
0.005;0.0001;0.0;0.7889043512;0.845040734;0.8761541477;0.882682033;0.8898765867;0.8864216464;0.8901597749;0.8980624597;0.8981307737;0.8988044703;0.8960806501
0.005;0.0001;0.001;0.8040831404;0.8284552597;0.837666916;0.8453880793;0.845509306;0.8449674073;0.8491475793;0.8446009446;0.8559857166;0.8461820881;0.8388188456
