learning_rate;weight_decay;lr_decay;epoch_10;epoch_20;epoch_30;epoch_40;epoch_50;epoch_60;epoch_70;epoch_80;epoch_90;epoch_100;Test
0.05;0.0;0.0;0.4500386517;0.4885920263;0.5237072996;0.5533415143;0.5608560341;0.5702227757;0.5849822429;0.586863544;0.5881935567;0.5988993232;0.6151212765
0.05;0.0;0.001;0.4666613467;0.4898637434;0.4991630418;0.5111758336;0.5123550552;0.5163702545;0.5155983751;0.5214678214;0.5194945676;0.5150114692;0.5415463027
0.05;0.001;0.0;0.4409315553;0.4862189889;0.5447785705;0.5499562413;0.5686153011;0.5682511874;0.5861695746;0.5950671587;0.605394315;0.6028717285;0.6209407856
0.05;0.001;0.001;0.3218055308;0.3410586546;0.3784188267;0.3948159376;0.4140856535;0.4160847283;0.418588016;0.418154974;0.4294336038;0.4301665078;0.441205953
0.05;0.0001;0.0;0.148248977;0.4213049015;0.4687346702;0.4920773213;0.5112651083;0.5328094138;0.5692556725;0.605163903;0.6154024269;0.6267814213;0.6470817452
0.05;0.0001;0.001;0.4051978684;0.4277944199;0.4495790946;0.4561904943;0.460211787;0.4583713442;0.4629456794;0.4724692464;0.4767487015;0.4749930396;0.479884798
0.01;0.0;0.0;0.6898725619;0.7441381537;0.7736158911;0.7980964697;0.7934456373;0.8105367916;0.8077068608;0.818075265;0.8135816284;0.816973234;0.820658559
0.01;0.0;0.001;0.6181285816;0.6520544538;0.6568436115;0.6614813498;0.6710649063;0.6694529982;0.6740225704;0.6839001813;0.6813520241;0.6685229478;0.6866934467
0.01;0.001;0.0;0.5849900363;0.6618622439;0.6972487096;0.7069632122;0.7241755071;0.7277396222;0.7571096138;0.7500791282;0.7641661786;0.7717981956;0.7757194419
0.01;0.001;0.001;0.5458364506;0.5920224788;0.6031471764;0.6211289732;0.6272576405;0.6165373581;0.6181590055;0.6239286475;0.6238274968;0.6343064567;0.6441238723
0.01;0.0001;0.0;0.6301732326;0.6731149594;0.7270868641;0.7442682697;0.7571745404;0.7684868671;0.7849589847;0.785578644;0.7962411805;0.7957449916;0.8034903794
0.01;0.0001;0.001;0.5813996461;0.6222424334;0.6300086238;0.6405388678;0.6398506643;0.6458973066;0.6455917774;0.6511675759;0.6473550925;0.6492179129;0.6635960936
0.005;0.0;0.0;0.6868767482;0.7273236075;0.7812444787;0.7909569221;0.7775371572;0.8075627759;0.8226477987;0.8228994215;0.8207673217;0.8250410288;0.8219071213
0.005;0.0;0.001;0.6140350113;0.6515036545;0.6602994057;0.6609825696;0.6595412332;0.6641038336;0.6619719336;0.6806144767;0.6701400196;0.6677259596;0.6883823507
0.005;0.001;0.0;0.6185568765;0.6820158935;0.7005146045;0.7415793992;0.7550122825;0.7627890044;0.7762035532;0.7838959409;0.7796809783;0.7966060331;0.7968473759
0.005;0.001;0.001;0.5607499633;0.5818887185;0.6112603297;0.6178336315;0.6144039816;0.6240557945;0.6274457872;0.626868666;0.6255711327;0.6316968875;0.6433557476
0.005;0.0001;0.0;0.6668668171;0.7356474167;0.7533109495;0.7873287812;0.7901451419;0.8043859746;0.8133885761;0.8127315359;0.8198310068;0.8199187924;0.8164031104
0.005;0.0001;0.001;0.5909804429;0.6228885595;0.628574772;0.6370442753;0.6319838153;0.6443509382;0.6382061793;0.6400288285;0.6512021704;0.6436737146;0.661539277
