corruption,severity,f1_macro
gaussian_noise,1,0.7675264781537836
gaussian_noise,2,0.5753271982130086
gaussian_noise,3,0.39860564590081327
gaussian_noise,4,0.33397647739034514
gaussian_noise,5,0.28473706578165636
shot_noise,1,0.8340155284931438
shot_noise,2,0.7527247572246485
shot_noise,3,0.5296191787162096
shot_noise,4,0.44671948009767515
shot_noise,5,0.32664455802034464
impulse_noise,1,0.8211451105039196
impulse_noise,2,0.7224825497479287
impulse_noise,3,0.6148006528247181
impulse_noise,4,0.3415079868269023
impulse_noise,5,0.14762793638689797
defocus_blur,1,0.8963867334174344
defocus_blur,2,0.8729297724123255
defocus_blur,3,0.8258944182426611
defocus_blur,4,0.7333145493392238
defocus_blur,5,0.5370534679143638
glass_blur,1,0.5500358277798173
glass_blur,2,0.5707860507314397
glass_blur,3,0.6219737691536974
glass_blur,4,0.41934956754267805
glass_blur,5,0.47264242677233775
motion_blur,1,0.8373009124210533
motion_blur,2,0.745910699616297
motion_blur,3,0.6486829481733466
motion_blur,4,0.6493043058895815
motion_blur,5,0.5541563380298673
zoom_blur,1,0.806689237430273
zoom_blur,2,0.7882183665288865
zoom_blur,3,0.7387924204272651
zoom_blur,4,0.6967248777949875
zoom_blur,5,0.6196507173252809
snow,1,0.8462788646637783
snow,2,0.7380601319616927
snow,3,0.7671648163868503
snow,4,0.7233202735522737
snow,5,0.686424753183191
frost,1,0.8622114977006843
frost,2,0.8142443130613097
frost,3,0.7329273918720023
frost,4,0.7262428176672211
frost,5,0.6386788408190294
fog,1,0.8950620465327737
fog,2,0.8645248588276926
fog,3,0.8207417653739124
fog,4,0.7559005212395272
fog,5,0.5811014132401446
brightness,1,0.899701653471884
brightness,2,0.8910823536766467
brightness,3,0.8777093711936317
brightness,4,0.8630992346424844
brightness,5,0.8191745788272149
contrast,1,0.8863617561220927
contrast,2,0.800289399355953
contrast,3,0.7040927645046196
contrast,4,0.5220771197516514
contrast,5,0.12872540600439442
elastic_transform,1,0.8424239613733183
elastic_transform,2,0.8442200137998122
elastic_transform,3,0.8093074261784603
elastic_transform,4,0.7579047594706376
elastic_transform,5,0.715366507068972
pixelate,1,0.8784353649001237
pixelate,2,0.8404971133066039
pixelate,3,0.8063555066207571
pixelate,4,0.677678800121032
pixelate,5,0.49119788631384287
jpeg_compression,1,0.8512589430883442
jpeg_compression,2,0.8121657879401427
jpeg_compression,3,0.7991354745398856
jpeg_compression,4,0.781115437382922
jpeg_compression,5,0.7552906808034843
