corruption,severity,f1_macro
gaussian_noise,1,0.842464504780067
gaussian_noise,2,0.8003578933071374
gaussian_noise,3,0.7483401426803473
gaussian_noise,4,0.7235078447200212
gaussian_noise,5,0.7038300927171435
shot_noise,1,0.8655770370277931
shot_noise,2,0.8433511205079387
shot_noise,3,0.7853375633725205
shot_noise,4,0.7623620662500875
shot_noise,5,0.7243579189694275
impulse_noise,1,0.8575084753530648
impulse_noise,2,0.8104334779444715
impulse_noise,3,0.7710352177934793
impulse_noise,4,0.6910589832271119
impulse_noise,5,0.6331330880462298
defocus_blur,1,0.9036786730623092
defocus_blur,2,0.897532154726397
defocus_blur,3,0.8861888074187474
defocus_blur,4,0.868393714963163
defocus_blur,5,0.8272767217450436
glass_blur,1,0.7130116000390078
glass_blur,2,0.712883767683519
glass_blur,3,0.7181711404966851
glass_blur,4,0.6146309968524662
glass_blur,5,0.6230039781728748
motion_blur,1,0.8788293468218205
motion_blur,2,0.8598682480307126
motion_blur,3,0.8334431923897737
motion_blur,4,0.8349522730153129
motion_blur,5,0.8073571937699728
zoom_blur,1,0.8789241098452061
zoom_blur,2,0.8789839954627782
zoom_blur,3,0.8688391380337308
zoom_blur,4,0.857408984203758
zoom_blur,5,0.8378413167798036
snow,1,0.8585728834181026
snow,2,0.7981996689848103
snow,3,0.8052231715888182
snow,4,0.7768746779776332
snow,5,0.7600693318281526
frost,1,0.872946454965934
frost,2,0.837420159838792
frost,3,0.7971889985621888
frost,4,0.8026163836744413
frost,5,0.7579552123765134
fog,1,0.9000329310102246
fog,2,0.8924708374976926
fog,3,0.8764844416942374
fog,4,0.852473660420362
fog,5,0.770842345495807
brightness,1,0.9025921779637673
brightness,2,0.9011812123231303
brightness,3,0.8964845134932894
brightness,4,0.8913389864592991
brightness,5,0.8752918168585586
contrast,1,0.8958894358155998
contrast,2,0.8701228988197741
contrast,3,0.8525623634508153
contrast,4,0.8287849958274578
contrast,5,0.7586757953839185
elastic_transform,1,0.8600658574239128
elastic_transform,2,0.86049720738205
elastic_transform,3,0.8538158730282583
elastic_transform,4,0.8056365373601023
elastic_transform,5,0.7366069232813437
pixelate,1,0.8819796799327179
pixelate,2,0.8651547675983895
pixelate,3,0.8518882519317025
pixelate,4,0.821907849975038
pixelate,5,0.7558682355682076
jpeg_compression,1,0.8388434729431061
jpeg_compression,2,0.7958330384539896
jpeg_compression,3,0.7827963095238292
jpeg_compression,4,0.767583948309705
jpeg_compression,5,0.7359263738276377
