corruption,severity,f1_macro
gaussian_noise,1,0.7685991060261191
gaussian_noise,2,0.5759241483716904
gaussian_noise,3,0.36858222040646493
gaussian_noise,4,0.28297781543687134
gaussian_noise,5,0.2223953387174466
shot_noise,1,0.8243509552144825
shot_noise,2,0.7407865820992531
shot_noise,3,0.5219594286831943
shot_noise,4,0.42712406076206066
shot_noise,5,0.2923210890046245
impulse_noise,1,0.8483971230488345
impulse_noise,2,0.7517456339319318
impulse_noise,3,0.6470373335884091
impulse_noise,4,0.39130531392911083
impulse_noise,5,0.19172309600504456
defocus_blur,1,0.9092327448422022
defocus_blur,2,0.8872010551285092
defocus_blur,3,0.8277465613309829
defocus_blur,4,0.7205617413140156
defocus_blur,5,0.512588228707971
glass_blur,1,0.45454929185752224
glass_blur,2,0.47627673887271016
glass_blur,3,0.5221939507049878
glass_blur,4,0.3636395119799477
glass_blur,5,0.39627975734523
motion_blur,1,0.845974961465954
motion_blur,2,0.7487466516506897
motion_blur,3,0.6402806945068518
motion_blur,4,0.64098053299937
motion_blur,5,0.5500865538583051
zoom_blur,1,0.8172688814147481
zoom_blur,2,0.7885630834034727
zoom_blur,3,0.7226898875815733
zoom_blur,4,0.6602196665125396
zoom_blur,5,0.5615173738552235
snow,1,0.8485733336006568
snow,2,0.6961254299623142
snow,3,0.757526409119703
snow,4,0.7123577896348372
snow,5,0.6340615014680082
frost,1,0.8511773799816948
frost,2,0.7674881578965348
frost,3,0.6242277114442385
frost,4,0.6065933556076822
frost,5,0.478042972027142
fog,1,0.9079768684251114
fog,2,0.8806281767337871
fog,3,0.8496841341960772
fog,4,0.7863557211903813
fog,5,0.5740341483930991
brightness,1,0.9099604573958592
brightness,2,0.9032447161332158
brightness,3,0.8928613588767671
brightness,4,0.8784282714738978
brightness,5,0.843820769669267
contrast,1,0.9005076979891022
contrast,2,0.8375766014407375
contrast,3,0.7644618016179776
contrast,4,0.6289807578800675
contrast,5,0.2509039809055081
elastic_transform,1,0.8521620845008249
elastic_transform,2,0.8473038083558457
elastic_transform,3,0.8023655497219433
elastic_transform,4,0.7405187861118945
elastic_transform,5,0.6738089286741655
pixelate,1,0.88853947115885
pixelate,2,0.8328487629803624
pixelate,3,0.7863092988974479
pixelate,4,0.6052573593749437
pixelate,5,0.3882423656084416
jpeg_compression,1,0.848111868796791
jpeg_compression,2,0.8042079912094294
jpeg_compression,3,0.7883596559787717
jpeg_compression,4,0.7684031023069858
jpeg_compression,5,0.7463117136362551
