corruption,severity,f1_macro
gaussian_noise,1,0.6365335392480637
gaussian_noise,2,0.4665392207166728
gaussian_noise,3,0.3382740429313392
gaussian_noise,4,0.2988962742877401
gaussian_noise,5,0.27291978512022436
shot_noise,1,0.718809084482603
shot_noise,2,0.6211375789190801
shot_noise,3,0.4330002788365637
shot_noise,4,0.3690387801473972
shot_noise,5,0.30494481377659266
impulse_noise,1,0.6628087035357577
impulse_noise,2,0.4992694484222405
impulse_noise,3,0.39438783753444706
impulse_noise,4,0.2840176174927703
impulse_noise,5,0.23075758357659773
defocus_blur,1,0.8437571655996967
defocus_blur,2,0.8289696563234028
defocus_blur,3,0.7860873003999379
defocus_blur,4,0.7143241936610865
defocus_blur,5,0.5599243011982058
glass_blur,1,0.36955397073985335
glass_blur,2,0.38782878171714513
glass_blur,3,0.438606890192281
glass_blur,4,0.29459560035600924
glass_blur,5,0.3362513256092711
motion_blur,1,0.7845352718635985
motion_blur,2,0.7059325439939586
motion_blur,3,0.6140904918799034
motion_blur,4,0.6214302712290881
motion_blur,5,0.5209656265867346
zoom_blur,1,0.7657021861103236
zoom_blur,2,0.743322032581809
zoom_blur,3,0.6924736542257273
zoom_blur,4,0.6504306760054693
zoom_blur,5,0.5662702744548322
snow,1,0.7575117495086786
snow,2,0.6263116561899003
snow,3,0.6690681882317975
snow,4,0.6499894878867948
snow,5,0.6072591449095974
frost,1,0.7862912620374963
frost,2,0.7218678514038812
frost,3,0.6261146671328297
frost,4,0.6056840682804798
frost,5,0.5067116315668485
fog,1,0.845375490558725
fog,2,0.8339090431151828
fog,3,0.8066164407022672
fog,4,0.751825411281138
fog,5,0.5742001328674338
brightness,1,0.8387956492579527
brightness,2,0.8307833243481204
brightness,3,0.8194752688921703
brightness,4,0.8020647292975983
brightness,5,0.7604789308755759
contrast,1,0.8438169926646759
contrast,2,0.7898129235547324
contrast,3,0.7213336542085518
contrast,4,0.583870527201187
contrast,5,0.18289526065087372
elastic_transform,1,0.787323344317872
elastic_transform,2,0.7862702816108424
elastic_transform,3,0.7581060281163091
elastic_transform,4,0.7114294964407255
elastic_transform,5,0.6503975191366593
pixelate,1,0.8073538617930023
pixelate,2,0.7254118306458037
pixelate,3,0.6624012459033152
pixelate,4,0.4662937620270366
pixelate,5,0.308469410639262
jpeg_compression,1,0.7533203522520722
jpeg_compression,2,0.7075299365973988
jpeg_compression,3,0.6892666657577609
jpeg_compression,4,0.6647736344209396
jpeg_compression,5,0.6346606373404937
