corruption,severity,f1_macro
gaussian_noise,1,0.8595554893635958
gaussian_noise,2,0.8080760550072548
gaussian_noise,3,0.7542835074623478
gaussian_noise,4,0.7347672957472804
gaussian_noise,5,0.7062836532673576
shot_noise,1,0.8774557828905353
shot_noise,2,0.8475251801671672
shot_noise,3,0.79289542665408
shot_noise,4,0.7641932526231965
shot_noise,5,0.7273428378195561
impulse_noise,1,0.8592656247193246
impulse_noise,2,0.8128003119809695
impulse_noise,3,0.7717803984731971
impulse_noise,4,0.693702917872673
impulse_noise,5,0.6290859691714819
defocus_blur,1,0.9075047136825297
defocus_blur,2,0.9053857466496357
defocus_blur,3,0.9009893632490945
defocus_blur,4,0.8826919672768441
defocus_blur,5,0.8369006314735339
glass_blur,1,0.7212843192937074
glass_blur,2,0.7157216435059628
glass_blur,3,0.7188906001939593
glass_blur,4,0.6179680865516605
glass_blur,5,0.6207956777952603
motion_blur,1,0.8866279211811564
motion_blur,2,0.8679351116568771
motion_blur,3,0.839445488889259
motion_blur,4,0.8429105735175728
motion_blur,5,0.8139633398701717
zoom_blur,1,0.8882263967765235
zoom_blur,2,0.8886025545447975
zoom_blur,3,0.875251336857602
zoom_blur,4,0.8643060591773832
zoom_blur,5,0.8376286203387495
snow,1,0.8624384309145963
snow,2,0.8089373618880176
snow,3,0.8106588126046731
snow,4,0.7876130629038246
snow,5,0.7716536642938747
frost,1,0.8842515420544428
frost,2,0.8514856539077431
frost,3,0.810304589860799
frost,4,0.8108443364800937
frost,5,0.7724810596333705
fog,1,0.9057459818807396
fog,2,0.8983883009773704
fog,3,0.8876248367304985
fog,4,0.8697541409033738
fog,5,0.8032876757481147
brightness,1,0.9096372779304589
brightness,2,0.908242980876626
brightness,3,0.9040618172095366
brightness,4,0.8976212321180569
brightness,5,0.8763504696219087
contrast,1,0.9049765047666659
contrast,2,0.886381525072536
contrast,3,0.8753020710571
contrast,4,0.8544691722008985
contrast,5,0.7972608908916358
elastic_transform,1,0.8709936693356315
elastic_transform,2,0.8723527025321662
elastic_transform,3,0.8655729948299069
elastic_transform,4,0.8153246122471319
elastic_transform,5,0.7392769460055664
pixelate,1,0.8885939791920485
pixelate,2,0.8690221533814183
pixelate,3,0.8608785985388467
pixelate,4,0.8288189872953078
pixelate,5,0.7666729529081004
jpeg_compression,1,0.8466700634315097
jpeg_compression,2,0.7986871343241954
jpeg_compression,3,0.783426250462514
jpeg_compression,4,0.7609341180018978
jpeg_compression,5,0.736414930277645
