corruption,severity,f1_macro
gaussian_noise,1,0.7941509318533166
gaussian_noise,2,0.6468994097605465
gaussian_noise,3,0.47848341471753775
gaussian_noise,4,0.40969245722307396
gaussian_noise,5,0.3330237750588979
shot_noise,1,0.8459485486249824
shot_noise,2,0.7684058932356832
shot_noise,3,0.5921236332899978
shot_noise,4,0.5092728358261833
shot_noise,5,0.39376584292813427
impulse_noise,1,0.8293840643712566
impulse_noise,2,0.724261858886778
impulse_noise,3,0.6333925083465424
impulse_noise,4,0.45901644604584113
impulse_noise,5,0.3063965879638431
defocus_blur,1,0.9189397564848907
defocus_blur,2,0.9031175865799387
defocus_blur,3,0.8516578673020906
defocus_blur,4,0.7496853310971039
defocus_blur,5,0.5309336295099958
glass_blur,1,0.48687538899747385
glass_blur,2,0.49167418861330237
glass_blur,3,0.5242804649410201
glass_blur,4,0.3883718467430663
glass_blur,5,0.4064081243912875
motion_blur,1,0.8725705394612072
motion_blur,2,0.792584981004319
motion_blur,3,0.7096576948110844
motion_blur,4,0.7056093285617078
motion_blur,5,0.6274195348994144
zoom_blur,1,0.841702904594466
zoom_blur,2,0.8140005693492087
zoom_blur,3,0.7577204492115107
zoom_blur,4,0.698369943784057
zoom_blur,5,0.6034974796578743
snow,1,0.8508188549528178
snow,2,0.7312367822782073
snow,3,0.7752621741613018
snow,4,0.7448350010573186
snow,5,0.6857903556410976
frost,1,0.8663312369923546
frost,2,0.8011465461212444
frost,3,0.6898968490952808
frost,4,0.6750504426115811
frost,5,0.5626087168162272
fog,1,0.9133841717955459
fog,2,0.8949760029425293
fog,3,0.8661218711217915
fog,4,0.8259315027308878
fog,5,0.6606996009205749
brightness,1,0.9196363911046251
brightness,2,0.912338033133512
brightness,3,0.9066963531988452
brightness,4,0.894304724390512
brightness,5,0.8635265154882663
contrast,1,0.9076829791695589
contrast,2,0.8582559492719073
contrast,3,0.796368233665764
contrast,4,0.6607937204328972
contrast,5,0.19144082181019967
elastic_transform,1,0.8685946305170666
elastic_transform,2,0.8645834098954633
elastic_transform,3,0.8298040310557419
elastic_transform,4,0.767008001714271
elastic_transform,5,0.7207950107754605
pixelate,1,0.8910726964077311
pixelate,2,0.8398665097404491
pixelate,3,0.7972414875579898
pixelate,4,0.6361634367271685
pixelate,5,0.43439588475633684
jpeg_compression,1,0.8446063883050323
jpeg_compression,2,0.7996609635926799
jpeg_compression,3,0.7885517729591808
jpeg_compression,4,0.7722086955145796
jpeg_compression,5,0.7383577356358114
