corruption,severity,f1_macro
gaussian_noise,1,0.7058974782299775
gaussian_noise,2,0.5610101811756352
gaussian_noise,3,0.42046178600642053
gaussian_noise,4,0.3689355977131231
gaussian_noise,5,0.3141715478021711
shot_noise,1,0.7561616567422395
shot_noise,2,0.6748344549192565
shot_noise,3,0.501182895382599
shot_noise,4,0.43362932349006506
shot_noise,5,0.34115460665058067
impulse_noise,1,0.7438397307680843
impulse_noise,2,0.6488622565690195
impulse_noise,3,0.5504053647602867
impulse_noise,4,0.38733378143925706
impulse_noise,5,0.25088714617561597
defocus_blur,1,0.814441268619064
defocus_blur,2,0.7859110157101961
defocus_blur,3,0.7351121683288758
defocus_blur,4,0.6800854983970804
defocus_blur,5,0.5593717641947503
glass_blur,1,0.6112469613235948
glass_blur,2,0.6310269504097475
glass_blur,3,0.6721455430491561
glass_blur,4,0.48000429103691716
glass_blur,5,0.5332494856772536
motion_blur,1,0.7730873201603436
motion_blur,2,0.7160640697779326
motion_blur,3,0.6553312976358061
motion_blur,4,0.6585100140535316
motion_blur,5,0.6007166619013299
zoom_blur,1,0.7361345600700656
zoom_blur,2,0.7209036822397273
zoom_blur,3,0.6875546865367287
zoom_blur,4,0.6611113124852925
zoom_blur,5,0.6135819199367046
snow,1,0.7756683550266754
snow,2,0.6743948847797765
snow,3,0.6872298168991032
snow,4,0.6565325842058061
snow,5,0.6372827984089142
frost,1,0.7847540598468251
frost,2,0.7254201511304275
frost,3,0.6389949641615053
frost,4,0.6343549572903181
frost,5,0.559933016338811
fog,1,0.8126640737893107
fog,2,0.7718625947278382
fog,3,0.7098706607607699
fog,4,0.6243235535687197
fog,5,0.4286961445246618
brightness,1,0.816372787810935
brightness,2,0.8094343854521358
brightness,3,0.7966392824517453
brightness,4,0.7750372151522307
brightness,5,0.7262180000577809
contrast,1,0.7964770345725626
contrast,2,0.6701535106009721
contrast,3,0.5474024718881989
contrast,4,0.37560680119182627
contrast,5,0.17698444455596674
elastic_transform,1,0.7575823775900395
elastic_transform,2,0.7596125449202831
elastic_transform,3,0.727577659205499
elastic_transform,4,0.7057532224352723
elastic_transform,5,0.6993646933869131
pixelate,1,0.8137925202289307
pixelate,2,0.7941829904753988
pixelate,3,0.7888476442771204
pixelate,4,0.7339948136509543
pixelate,5,0.665258062438552
jpeg_compression,1,0.7994106235243845
jpeg_compression,2,0.7869543558205153
jpeg_compression,3,0.778772250096633
jpeg_compression,4,0.7719693928385538
jpeg_compression,5,0.7603181134146286
