corruption,severity,f1_macro
gaussian_noise,1,0.7764202737452375
gaussian_noise,2,0.6294019458086533
gaussian_noise,3,0.4720669498673469
gaussian_noise,4,0.40095607681207956
gaussian_noise,5,0.3446792656944812
shot_noise,1,0.8225319619993329
shot_noise,2,0.7478644638305555
shot_noise,3,0.5612451659047025
shot_noise,4,0.49043793455065166
shot_noise,5,0.3901443467584014
impulse_noise,1,0.75029470138411
impulse_noise,2,0.6343296738767402
impulse_noise,3,0.5372061276851462
impulse_noise,4,0.3677194150372321
impulse_noise,5,0.24139480261187868
defocus_blur,1,0.863193885797475
defocus_blur,2,0.837080463559823
defocus_blur,3,0.7904816295767491
defocus_blur,4,0.7176844474106583
defocus_blur,5,0.5665563985039587
glass_blur,1,0.6165112747432278
glass_blur,2,0.6385634959505448
glass_blur,3,0.6872392377557326
glass_blur,4,0.48343763342825163
glass_blur,5,0.5426258401950703
motion_blur,1,0.8040290229826841
motion_blur,2,0.7370542737697271
motion_blur,3,0.6635236955093371
motion_blur,4,0.6621143539832619
motion_blur,5,0.5861052930229967
zoom_blur,1,0.7842257308595577
zoom_blur,2,0.7654826408110907
zoom_blur,3,0.7283333956742342
zoom_blur,4,0.6946254282830047
zoom_blur,5,0.635510062234338
snow,1,0.8211681001538185
snow,2,0.7377184225874452
snow,3,0.7407954244875482
snow,4,0.7092493116945108
snow,5,0.6772378877916351
frost,1,0.828943618248509
frost,2,0.7751618512861893
frost,3,0.6959329065642469
frost,4,0.6967713936042842
frost,5,0.6131882174597363
fog,1,0.8566702612456005
fog,2,0.8144648637869428
fog,3,0.7531190916825015
fog,4,0.6624119568988129
fog,5,0.45157408387229303
brightness,1,0.8644799278951053
brightness,2,0.8560411622346089
brightness,3,0.8402236714250801
brightness,4,0.8218766020926405
brightness,5,0.7592110261553608
contrast,1,0.8442825881199699
contrast,2,0.7144394586493925
contrast,3,0.5770257943045994
contrast,4,0.37097859084799384
contrast,5,0.14982868297327895
elastic_transform,1,0.8008013913648167
elastic_transform,2,0.8044717485266963
elastic_transform,3,0.7753216114646513
elastic_transform,4,0.7475716336158295
elastic_transform,5,0.73729692607235
pixelate,1,0.8511628105481165
pixelate,2,0.8351153909367259
pixelate,3,0.8265161729414213
pixelate,4,0.7804489389788141
pixelate,5,0.6963448128247967
jpeg_compression,1,0.8357079261176896
jpeg_compression,2,0.8122168763268818
jpeg_compression,3,0.805850531104386
jpeg_compression,4,0.796033830084985
jpeg_compression,5,0.7776063091229717
